,Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry,Reduced Name
2536,MAN,ManpowerGroup Common Stock,$90.18,5188345599.0,204811,Technology,Professional Services,Manpowergroup
2537,MANH,Manhattan Associates Inc. Common Stock,$105.18,6681706542.0,252732,Technology,Computer Software: Prepackaged Software,Manhattan Associates
2538,MANT,ManTech International Corporation Common Stock $0.01 Par Value,$88.94,3589281495.0,153537,Consumer Services,Other Consumer Services,Mantech International
2539,MANU,Manchester United Ltd. Class A Ordinary Shares,$16.74,2727602091.0,231028,Consumer Services,Services-Misc. Amusement & Recreation,Manchester United
2540,MAR,Marriott International Class A Common Stock,$131.92,42785839975.0,1537281,Consumer Services,Hotels/Resorts,Marriott International
2541,MARA,Marathon Patent Group Inc. Common Stock,$10.44,664334774.0,36916433,Technology,EDP Services,Marathon Patent Group
2542,MAS,Masco Corporation Common Stock,$54.93,14373856693.0,1157934,Capital Goods,Industrial Specialties,Masco
2543,MASI,Masimo Corporation Common Stock,$268.38,14775719675.0,234060,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Masimo
2544,MASS,908 Devices Inc. Common Stock,$56.95,1492133396.0,208488,Capital Goods,Industrial Machinery/Components,908 Devices
2545,MAT,Mattel Inc. Common Stock,$17.45,6073303305.0,2154589,Consumer Non-Durables,Recreational Products/Toys,Mattel
2546,MATW,Matthews International Corporation Class A Common Stock,$29.40,934672187.0,120913,Capital Goods,Metal Fabrications,Matthews International
2547,MATX,Matson Inc. Common Stock,$56.97,2454194394.0,189495,Consumer Services,Marine Transportation,Matson
2548,MAV,Pioneer Municipal High Income Advantage Trust Common Shares of Beneficial Interest,$11.65,278423583.0,104709,,,Pioneer Municipal High Income Advantage Trust Of Beneficial Interest
2549,MAX,MediaAlpha Inc. Class A Common Stock,$39.07,2293611539.0,155527,Finance,Property-Casualty Insurers,Mediaalpha
2550,MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares,$28.37,950318344.0,423638,Technology,Semiconductors,Maxeon Solar Technologies
2551,MAXR,Maxar Technologies Inc.,$38.59,2356873368.0,1801412,Technology,Radio And Television Broadcasting And Communications Equipment,Maxar Technologies
2552,MBCN,Middlefield Banc Corp. Common Stock,$22.50,143507475.0,4969,Finance,Major Banks,Middlefield Banc
2553,MBI,MBIA Inc. Common Stock,$6.58,354848326.0,254122,Finance,Property-Casualty Insurers,Mbia
2554,MBIN,Merchants Bancorp Common Stock,$27.63,794241315.0,48092,Finance,Major Banks,Merchants Bancorp
2555,MBIO,Mustang Bio Inc. Common Stock,$3.79,248271208.0,1451315,Health Care,Major Pharmaceuticals,Mustang Bio
2556,MBT,Mobile TeleSystems PJSC,$8.95,7929413376.0,1196639,Public Utilities,Telecommunications Equipment,Mobile Telesystems Pjsc
2557,MBUU,Malibu Boats Inc. Class A Common Stock,$62.44,1293800258.0,120005,Capital Goods,Marine Transportation,Malibu Boats
2558,MBWM,Mercantile Bank Corporation Common Stock,$27.17,441066803.0,43078,Finance,Major Banks,Mercantile Bank
2559,MC,Moelis & Company Class A Common Stock,$46.76,2593566967.0,227309,Finance,Investment Managers,Moelis & Company
2560,MCA,Blackrock MuniYield California Quality Fund Inc. Common Stock,$14.97,514881555.0,57659,,,Blackrock Muniyield California Quality Fund
2561,MCB,Metropolitan Bank Holding Corp. Common Stock,$36.27,300724145.0,25279,Finance,Major Banks,Metropolitan Bank Holding
2562,MCBC,Macatawa Bank Corporation Common Stock,$8.37,285428048.0,63556,Finance,Major Banks,Macatawa Bank
2563,MCBS,MetroCity Bankshares Inc. Common Stock,$14.42,370220046.0,14984,Finance,Major Banks,Metrocity Bankshares
2564,MCD,McDonald's Corporation Common Stock,$214.58,160000000000.0,2610914,Consumer Services,Restaurants,Mcdonald'S
2565,MCFE,McAfee Corp. Class A Common Stock,$16.69,7083071053.0,1334267,Technology,Computer Software: Prepackaged Software,Mcafee
2566,MCFT,MasterCraft Boat Holdings Inc. Common Stock,$24.84,470776076.0,254716,Capital Goods,Marine Transportation,Mastercraft Boat Holdings
2567,MCHP,Microchip Technology Incorporated Common Stock,$138.11,37130293714.0,797060,Technology,Semiconductors,Microchip Technology Incorporated
2568,MCI,Barings Corporate Investors Common Stock,$13.18,267049456.0,46871,,,Barings Corporate Investors
2569,MCK,McKesson Corporation Common Stock,$173.92,27925364796.0,663276,Health Care,Other Pharmaceuticals,Mckesson
2570,MCMJ,Merida Merger Corp. I Common Stock,$10.20,166993788.0,17402,Finance,Business Services,Merida Merger I
2571,MCN,Madison Covered Call & Equity Strategy Fund Common Stock,$6.75,141391737.0,183463,,,Madison Covered Call & Equity Strategy Fund
2572,MCO,Moody's Corporation Common Stock,$290.24,54507072000.0,709425,Finance,Finance: Consumer Services,Moody'S
2573,MCR,MFS Charter Income Trust Common Stock,$8.77,388642304.0,137234,,,Mfs Charter Income Trust
2574,MCRB,Seres Therapeutics Inc. Common Stock,$24.50,2235581831.0,1844773,Health Care,Major Pharmaceuticals,Seres Therapeutics
2575,MCRI,Monarch Casino & Resort Inc. Common Stock,$61.22,1118085654.0,109294,Consumer Services,Hotels/Resorts,Monarch Casino & Resort
2576,MCS,Marcus Corporation (The) Common Stock,$13.48,418746656.0,389719,Consumer Services,Movies/Entertainment,Marcus
2577,MCY,Mercury General Corporation Common Stock,$52.21,2890225047.0,169605,Finance,Property-Casualty Insurers,Mercury General
2578,MD,Mednax Inc. Common Stock,$24.54,2100582257.0,609787,Health Care,Hospital/Nursing Management,Mednax
2579,MDB,MongoDB Inc. Class A Common Stock,$359.04,21638018815.0,507952,Technology,Computer Software: Prepackaged Software,Mongodb
2580,MDC,M.D.C. Holdings Inc. Common Stock,$48.60,3152546552.0,584848,Capital Goods,Homebuilding,M.D.C. Holdings
2581,MDGL,Madrigal Pharmaceuticals Inc. Common Stock,$111.17,1716256245.0,158862,Health Care,Major Pharmaceuticals,Madrigal Pharmaceuticals
2582,MDLA,Medallia Inc. Common Stock,$33.22,4997901064.0,699449,Technology,Computer Software: Programming Data Processing,Medallia
2583,MDLZ,Mondelez International Inc. Class A Common Stock,$58.47,83621616753.0,5321582,Consumer Non-Durables,Packaged Foods,Mondelez International
2584,MDNA,Medicenna Therapeutics Corp. Common Shares,$4.68,228374560.0,191084,Health Care,Major Pharmaceuticals,Medicenna Therapeutics
2585,MDP,Meredith Corporation Common Stock,$19.20,874881408.0,369012,Consumer Services,Newspapers/Magazines,Meredith
2586,MDRX,Allscripts Healthcare Solutions Inc. Common Stock,$14.44,2281255474.0,931087,Technology,EDP Services,Allscripts Healthcare Solutions
2587,MDT,Medtronic plc. Ordinary Shares,$117.14,158000000000.0,2544159,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Medtronic Plc.
2588,MDU,MDU Resources Group Inc. Common Stock (Holding Company),$26.34,5281756776.0,853823,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Mdu Resources Group
2589,MDVL,MedAvail Holdings Inc. Common Stock,$15.05,476617622.0,73521,Health Care,Major Pharmaceuticals,Medavail Holdings
2590,MDWD,MediWound Ltd. Ordinary Shares,$3.70,100687338.0,72180,Consumer Durables,Specialty Chemicals,Mediwound
2591,MDWT,Midwest Holding Inc. Common Stock,$53.65,200520309.0,21772,Finance,Life Insurance,Midwest Holding
2592,MDXG,MiMedx Group Inc Common Stock,$9.08,1008292395.0,381981,Health Care,Medical/Dental Instruments,Mimedx Group
2593,MEC,Mayville Engineering Company Inc. Common Stock,$13.42,269197014.0,14432,Capital Goods,Industrial Specialties,Mayville Engineering Company
2594,MED,MEDIFAST INC Common Stock,$196.34,2310888422.0,83723,Consumer Non-Durables,Packaged Foods,Medifast
2595,MEDP,Medpace Holdings Inc. Common Stock,$139.20,4979418274.0,208702,Health Care,Biotechnology: Commercial Physical & Biological Resarch,Medpace Holdings
2596,MEG,Montrose Environmental Group Inc. Common Stock,$30.96,772813613.0,115055,Consumer Services,Professional Services,Montrose Environmental Group
2597,MEI,Methode Electronics Inc. Common Stock,$38.28,1436638371.0,155563,Capital Goods,Electrical Products,Methode Electronics
2598,MELI,MercadoLibre Inc. Common Stock,"$1,675.22",83542764065.0,254474,Miscellaneous,Business Services,Mercadolibre
2599,MEN,Blackrock MuniEnhanced Fund Inc Common Stock,$11.98,355584082.0,71673,,,Blackrock Munienhanced Fund
2600,MEOH,Methanex Corporation Common Stock,$46.08,3511115366.0,119048,Basic Industries,Major Chemicals,Methanex
2601,MERC,Mercer International Inc. Common Stock,$10.25,675147882.0,250711,Basic Industries,Paper,Mercer International
2602,MESA,Mesa Air Group Inc. Common Stock,$6.69,237712385.0,991359,Transportation,Air Freight/Delivery Services,Mesa Air Group
2603,MESO,Mesoblast Limited American Depositary Shares,$8.49,997722352.0,561765,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mesoblast
2604,MET,MetLife Inc. Common Stock,$46.95,42252582685.0,2856373,Finance,Life Insurance,Metlife
2605,MFA,MFA Financial Inc.,$3.89,1763466226.0,3303678,Consumer Services,Real Estate Investment Trusts,Mfa Financial
2606,MFC,Manulife Financial Corporation Common Stock,$17.82,34567753439.0,1613755,Finance,Life Insurance,Manulife Financial
2607,MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,$5.71,1912482179.0,390835,Technology,Computer Software: Prepackaged Software,Micro Focus Intlads Each Representing One Ord Sh
2608,MFIN,Medallion Financial Corp. Common Stock,$4.90,121589105.0,54837,Finance,Finance: Consumer Services,Medallion Financial
2609,MFL,Blackrock MuniHoldings Investment Quality Fund Common Shares of Beneficial Interest,$14.08,533578609.0,80900,,,Blackrock Muniholdings Investment Quality Fund Of Beneficial Interest
2610,MFM,MFS Municipal Income Trust Common Stock,$6.68,275133375.0,121210,,,Mfs Municipal Income Trust
2611,MFNC,Mackinac Financial Corporation Common Stock,$12.76,134408596.0,10496,Finance,Major Banks,Mackinac Financial
2612,MFT,Blackrock MuniYield Investment Quality Fund Common Shares of Beneficial Interest,$14.35,121644181.0,6682,,,Blackrock Muniyield Investment Quality Fund Of Beneficial Interest
2613,MG,Mistras Group Inc Common Stock,$7.76,226534281.0,136950,Consumer Services,Military/Government/Technical,Mistras Group
2614,MGA,Magna International Inc. Common Stock,$70.80,21187877677.0,1029373,Capital Goods,Auto Parts:O.E.M.,Magna International
2615,MGEE,MGE Energy Inc,$70.03,2532520801.0,62555,Energy,Electric Utilities: Central,Mge Energy Inc
2616,MGF,MFS Government Markets Income Trust Common Stock,$4.59,149571071.0,105576,,,Mfs Government Markets Income Trust
2617,MGI,Moneygram International Inc. Common Stock,$5.47,396308351.0,1975897,Miscellaneous,Business Services,Moneygram International
2618,MGIC,Magic Software Enterprises Ltd. Ordinary Shares,$15.65,766490911.0,43716,Technology,Computer Software: Prepackaged Software,Magic Software Enterprises
2619,MGLN,Magellan Health Inc. Common Stock,$82.84,2121303844.0,86960,Health Care,Hospital/Nursing Management,Magellan Health
2620,MGM,MGM Resorts International Common Stock,$31.51,15564021009.0,15717620,Consumer Services,Hotels/Resorts,Mgm Resorts International
2621,MGNI,Magnite Inc. Common Stock,$30.71,3438259815.0,3418692,Technology,Computer Software: Programming Data Processing,Magnite
2622,MGNX,MacroGenics Inc. Common Stock,$22.86,1284823783.0,570591,Health Care,Major Pharmaceuticals,Macrogenics
2623,MGP,MGM Growth Properties LLC Class A common shares representing limited liability company interests,$31.30,9498548337.0,549765,Consumer Services,Real Estate Investment Trusts,Mgm Growth Properties Representing Liability Company Interests
2624,MGPI,MGP Ingredients Inc.,$47.06,796059666.0,69203,Consumer Non-Durables,Beverages (Production/Distribution),Mgp Ingredients
2625,MGRC,McGrath RentCorp Common Stock,$67.10,1617868096.0,105458,Technology,Diversified Commercial Services,Mcgrath Rentcorp
2626,MGTA,Magenta Therapeutics Inc. Common Stock,$7.84,378711051.0,143424,Health Care,Major Pharmaceuticals,Magenta Therapeutics
2627,MGTX,MeiraGTx Holdings plc Ordinary Shares,$15.14,657260148.0,182206,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Meiragtx Holdings
2628,MGU,Macquarie Global Infrastructure Total Return Fund Inc. Common Stock,$20.29,252981665.0,36081,,,Macquarie Global Infrastructure Total Return Fund
2629,MGY,Magnolia Oil & Gas Corporation Class A Common Stock,$7.06,1774178000.0,1233504,Energy,Oil & Gas Production,Magnolia Oil & Gas
2630,MHD,Blackrock MuniHoldings Fund Inc. Common Stock,$16.20,230197496.0,39964,,,Blackrock Muniholdings Fund
2631,MHF,Western Asset Municipal High Income Fund Inc. Common Stock,$7.51,162463334.0,11537,,,Western Asset Municipal High Income Fund
2632,MHH,Mastech Digital Inc Common Stock,$15.90,180938009.0,26279,Consumer Services,Professional Services,Mastech Digital
2633,MHI,Pioneer Municipal High Income Trust Common Shares of Beneficial Interest,$12.44,283275582.0,53710,,,Pioneer Municipal High Income Trust Of Beneficial Interest
2634,MHK,Mohawk Industries Inc. Common Stock,$140.95,10035445489.0,363658,Consumer Durables,Home Furnishings,Mohawk Industries
2635,MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,$14.11,439272845.0,41198,,,Blackrock Muniholdings New York Quality Fund
2636,MHO,M/I Homes Inc. Common Stock,$44.29,1273144794.0,217746,Capital Goods,Homebuilding,M/I Homes
2637,MIC,Macquarie Infrastructure Corporation Common Stock,$37.55,3274281370.0,1502110,Energy,Oil Refining/Marketing,Macquarie Infrastructure
2638,MIDD,Middleby Corporation (The) Common Stock,$128.92,7169531915.0,413908,Technology,Industrial Machinery/Components,Middleby
2639,MIG,VanEck Vectors Moody's Analytics IG Corporate Bond ETF,$25.28,1271996365.0,0,,,Vaneck Vectors Moody'S Analytics Ig Corporate Bond Etf
2640,MIK,The Michaels Companies Inc. Common Stock,$13.01,1920919995.0,3732939,Consumer Services,Recreational Products/Toys,The Michaels Companies
2641,MIME,Mimecast Limited Ordinary Shares,$56.84,3631637650.0,353643,Technology,Computer Software: Prepackaged Software,Mimecast
2642,MIN,MFS Intermediate Income Trust Common Stock,$3.81,441695312.0,238659,,,Mfs Intermediate Income Trust
2643,MIRM,Mirum Pharmaceuticals Inc. Common Stock,$17.46,514491672.0,412129,Health Care,Major Pharmaceuticals,Mirum Pharmaceuticals
2644,MIST,Milestone Pharmaceuticals Inc. Common Shares,$6.70,199813410.0,63150,Health Care,Major Pharmaceuticals,Milestone Pharmaceuticals
2645,MITK,Mitek Systems Inc. Common Stock,$17.78,756046370.0,424486,Technology,Computer peripheral equipment,Mitek Systems
2646,MIXT,MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares,$12.59,277515642.0,51074,Technology,Computer Software: Prepackaged Software,Mix Telematics Each Representing 25
2647,MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,$14.57,429953925.0,74248,,,Blackrock Muniyield Michigan Quality Fund
2648,MKC,McCormick & Company Incorporated Common Stock,$95.60,25508290846.0,1190934,Consumer Non-Durables,Packaged Foods,Mccormick & Company Incorporated
2649,MKL,Markel Corporation Common Stock,"$1,033.30",14236894197.0,30346,Finance,Property-Casualty Insurers,Markel
